Time,Hand_WristRoot.x,Hand_WristRoot.y,Hand_WristRoot.z,ForearmStub.x,ForearmStub.y,ForearmStub.z,Thumb0.x,Thumb0.y,Thumb0.z,Thumb1.x,Thumb1.y,Thumb1.z,Thumb2.x,Thumb2.y,Thumb2.z,Thumb3.x,Thumb3.y,Thumb3.z,ThumbTip.x,ThumbTip.y,ThumbTip.z,Index1.x,Index1.y,Index1.z,Index2.x,Index2.y,Index2.z,Index3.x,Index3.y,Index3.z,IndexTip.x,IndexTip.y,IndexTip.z,Middle1.x,Middle1.y,Middle1.z,Middle2.x,Middle2.y,Middle2.z,Middle3.x,Middle3.y,Middle3.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,Ring1.x,Ring1.y,Ring1.z,Ring2.x,Ring2.y,Ring2.z,Ring3.x,Ring3.y,Ring3.z,RingTip.x,RingTip.y,RingTip.z,Pinky0.x,Pinky0.y,Pinky0.z,Pinky1.x,Pinky1.y,Pinky1.z,Pinky2.x,Pinky2.y,Pinky2.z,Pinky3.x,Pinky3.y,Pinky3.z,PinkyTip.x,PinkyTip.y,PinkyTip.z
8.443616,-0.05147341,1.13204,0.3352963,-0.05147341,1.13204,0.3352963,-0.0347533,1.142354,0.3170386,-0.03078287,1.160923,0.2989648,-0.01748308,1.185552,0.2791489,-0.007608786,1.215774,0.2630311,-0.01098604,1.237694,0.249518,0.02620959,1.194731,0.3042254,0.05057285,1.176588,0.2781905,0.03668072,1.15759,0.2680274,0.01855808,1.142792,0.2648128,0.03449476,1.183555,0.32325,0.05361635,1.159963,0.289663,0.03455248,1.140703,0.2791687,0.0113746,1.128415,0.2765617,0.03829246,1.164911,0.3341696,0.05098185,1.143687,0.3012981,0.03272875,1.127341,0.2876843,0.008707382,1.118934,0.2839863,-0.007386923,1.129811,0.3408167,0.0388604,1.143186,0.3418328,0.04909713,1.131566,0.3133678,0.03819586,1.121527,0.2978952,0.01946567,1.115408,0.285722
8.457224,-0.04756621,1.128083,0.3374869,-0.04756621,1.128083,0.3374869,-0.03284162,1.139573,0.3182405,-0.03080526,1.159119,0.3008896,-0.01981171,1.184601,0.2807399,-0.01186962,1.215497,0.2648347,-0.01681294,1.237864,0.252596,0.02616862,1.193306,0.3022838,0.04831992,1.177272,0.2730812,0.03308333,1.158882,0.2637613,0.01486487,1.144025,0.2615079,0.03640434,1.181217,0.3197355,0.05218905,1.159695,0.2831574,0.03149269,1.141214,0.2745203,0.008273624,1.128758,0.2736622,0.04140782,1.162056,0.3291739,0.04943693,1.142115,0.2941042,0.02870724,1.126797,0.2830886,0.004325658,1.11868,0.2820707,-0.003133915,1.126094,0.3384244,0.04289013,1.139956,0.3355314,0.04897077,1.129555,0.3054497,0.03515564,1.120504,0.2918025,0.01483026,1.115149,0.2820735
8.471328,-0.04249749,1.124571,0.3344551,-0.04249749,1.124571,0.3344551,-0.03009968,1.137291,0.3143612,-0.03033017,1.157584,0.2977671,-0.02235171,1.183666,0.276976,-0.01703234,1.214983,0.2608029,-0.02391481,1.237347,0.2495339,0.02557005,1.19341,0.2949812,0.04500258,1.179161,0.2630458,0.02826502,1.161162,0.2557582,0.009647191,1.146633,0.2559446,0.03783025,1.180927,0.3107716,0.05035982,1.161361,0.2719064,0.02871685,1.143053,0.265512,0.00590504,1.129863,0.2663231,0.04426151,1.161553,0.3188065,0.0486882,1.143061,0.282331,0.02664798,1.12791,0.2739429,0.002495706,1.11916,0.2751639,0.001838647,1.123899,0.3308609,0.04695619,1.139265,0.3240007,0.04882395,1.129809,0.2930625,0.03230352,1.121244,0.2824446,0.01035649,1.116378,0.2768679
8.484985,-0.03816578,1.121114,0.3330913,-0.03816578,1.121114,0.3330913,-0.02818226,1.135039,0.3124588,-0.03059316,1.155995,0.2968928,-0.02561684,1.182822,0.2761154,-0.02288606,1.21466,0.2603199,-0.03155201,1.237058,0.2504327,0.02379717,1.193575,0.2901929,0.04026829,1.181041,0.2559561,0.02249205,1.163361,0.2506056,0.003869623,1.149031,0.2529662,0.03789959,1.180809,0.3041084,0.04692565,1.163166,0.263395,0.02462424,1.144996,0.2592768,0.002287064,1.131198,0.2616622,0.04560152,1.161316,0.3105835,0.0462322,1.144202,0.2731836,0.02336372,1.129022,0.2675005,-0.000307415,1.119549,0.2708655,0.005586687,1.121928,0.3250836,0.04937617,1.138918,0.3144745,0.04713564,1.130374,0.283297,0.02888294,1.122013,0.2758155,0.00628192,1.117236,0.2741375
8.501206,-0.03740823,1.118096,0.3272289,-0.03740823,1.118096,0.3272289,-0.02985376,1.133149,0.3063574,-0.03426715,1.154524,0.291837,-0.03204706,1.182076,0.2715347,-0.03168412,1.214392,0.2564969,-0.04188325,1.236746,0.2480838,0.01794077,1.194285,0.2818212,0.03142201,1.183296,0.2457931,0.01355411,1.16546,0.2413383,-0.004481725,1.150557,0.2445537,0.03368395,1.181494,0.2938214,0.03941318,1.165697,0.2517741,0.01725532,1.147109,0.2489457,-0.004260916,1.132148,0.2518118,0.04256736,1.162046,0.2987335,0.04031274,1.146493,0.2607201,0.01750442,1.130733,0.256584,-0.005430881,1.119929,0.2608996,0.005347945,1.12075,0.3152319,0.04739015,1.139661,0.3013188,0.04243651,1.132355,0.2701396,0.02382823,1.122996,0.2651223,0.001569957,1.116777,0.2666526
8.512686,-0.03596184,1.114973,0.3235322,-0.03596184,1.114973,0.3235322,-0.03086958,1.131089,0.3027088,-0.03693893,1.152642,0.2890757,-0.03703056,1.180645,0.2692769,-0.03846259,1.21319,0.254806,-0.04975206,1.235422,0.2475394,0.01250522,1.194761,0.2764681,0.02253174,1.185061,0.2389725,0.004565433,1.16706,0.2357513,-0.01275755,1.151488,0.2396476,0.02969258,1.182058,0.2864027,0.0319422,1.168076,0.2433935,0.01006909,1.149006,0.2418492,-0.01059568,1.132969,0.2451345,0.0395917,1.16275,0.2896392,0.03433812,1.148704,0.2513359,0.01175483,1.132315,0.2486742,-0.01036197,1.120227,0.2537825,0.005374834,1.119574,0.3077469,0.04532151,1.14046,0.2908126,0.03760794,1.134306,0.259947,0.01911202,1.123842,0.2572188,-0.002260089,1.116081,0.2616274
8.525706,-0.03497982,1.11429,0.3184747,-0.03497982,1.11429,0.3184747,-0.03224219,1.130968,0.2976506,-0.04006485,1.152527,0.2849525,-0.04264367,1.180807,0.2657228,-0.04600608,1.21345,0.2518033,-0.05838757,1.23546,0.24574,0.006689571,1.196504,0.2691318,0.01311658,1.187273,0.2307388,-0.004622977,1.168838,0.2291126,-0.02106474,1.152704,0.2343179,0.02506608,1.184167,0.2772301,0.02390005,1.171061,0.2339037,0.002516143,1.151383,0.2338201,-0.01732747,1.134662,0.2384726,0.03579329,1.165128,0.2791507,0.02769177,1.151755,0.2411039,0.005503375,1.134669,0.2399123,-0.01572419,1.121649,0.2463357,0.004638135,1.120527,0.2992241,0.0422771,1.143016,0.2793163,0.03261165,1.137677,0.2488509,0.01444764,1.126474,0.2469506,-0.006182564,1.117574,0.2525744
8.539666,-0.03353056,1.11286,0.3149145,-0.03353056,1.11286,0.3149145,-0.03314763,1.130041,0.2943244,-0.04267269,1.151575,0.282802,-0.04774165,1.180109,0.2644625,-0.05307736,1.212843,0.2513998,-0.06649099,1.234591,0.246754,0.001130134,1.197355,0.2640276,0.00396562,1.188591,0.2250956,-0.01335717,1.169693,0.224958,-0.02878844,1.152994,0.2313416,0.02051197,1.185445,0.2701897,0.01587221,1.173144,0.2268596,-0.004875617,1.15284,0.2281835,-0.02375809,1.135428,0.2341227,0.03193095,1.166721,0.270716,0.02108778,1.154062,0.23311,-0.000573196,1.136272,0.2332076,-0.02082442,1.122299,0.2406922,0.004022397,1.120748,0.2924063,0.03906143,1.144827,0.2697961,0.02783261,1.14064,0.2396888,0.01001502,1.128831,0.2382308,-0.00977583,1.118937,0.2450775
8.553851,-0.03189558,1.111091,0.3123289,-0.03189558,1.111091,0.3123289,-0.03382594,1.128708,0.2921993,-0.044934,1.150162,0.2820217,-0.05239905,1.178881,0.2648268,-0.05966507,1.211663,0.2528606,-0.07399854,1.233099,0.2497666,-0.004325069,1.197686,0.2606423,-0.005012132,1.189381,0.221513,-0.0217506,1.169998,0.2226667,-0.0360774,1.152704,0.2299734,0.01586303,1.186258,0.264805,0.007758021,1.174673,0.2217885,-0.01223237,1.153748,0.2244393,-0.03004818,1.135645,0.2315025,0.02782625,1.167893,0.2638868,0.01423917,1.155858,0.2269738,-0.006792841,1.137375,0.2283017,-0.0260193,1.122451,0.2366065,0.003287252,1.120622,0.286826,0.03548492,1.146256,0.2618268,0.02230708,1.142927,0.2324104,0.004843257,1.130537,0.2316727,-0.01392199,1.119704,0.2398554
8.568312,-0.03140652,1.106886,0.3072279,-0.03140652,1.106886,0.3072279,-0.03511173,1.124823,0.2876369,-0.04734002,1.145909,0.2779888,-0.05638731,1.174472,0.2613012,-0.06514074,1.207061,0.2498129,-0.08028124,1.228022,0.2473789,-0.009947166,1.195469,0.2560151,-0.01315993,1.187134,0.2170184,-0.02904372,1.167026,0.2177921,-0.04244965,1.148595,0.2239813,0.01084156,1.184714,0.2587788,0.000678934,1.173633,0.2160676,-0.01841611,1.151979,0.2193803,-0.03518979,1.13313,0.2270218,0.0233824,1.166826,0.2567792,0.008445583,1.155399,0.2201959,-0.01184482,1.136129,0.2218268,-0.03016162,1.120231,0.2303787,0.001899838,1.118226,0.2800037,0.03168033,1.145534,0.2538094,0.01746842,1.142881,0.2248085,0.000425942,1.129908,0.2242776,-0.01754258,1.118127,0.232926
8.582029,-0.03041124,1.103171,0.3032791,-0.03041124,1.103171,0.3032791,-0.03586737,1.121365,0.2843453,-0.04918827,1.142062,0.2753212,-0.05979504,1.170455,0.2592738,-0.07000495,1.202829,0.2483978,-0.08590181,1.223297,0.2467111,-0.01506612,1.193523,0.2529673,-0.02070483,1.185166,0.2142516,-0.03577444,1.164441,0.2150181,-0.04824514,1.145139,0.220464,0.006212603,1.183477,0.2542987,-0.006027574,1.17283,0.2120239,-0.02419978,1.150495,0.2159473,-0.03990533,1.13095,0.2240914,0.01923871,1.166103,0.2511815,0.002831787,1.155178,0.2150777,-0.01670321,1.135164,0.2169555,-0.0341007,1.11833,0.2256337,0.000852078,1.11628,0.2744724,0.02809536,1.145194,0.2472591,0.01263763,1.14304,0.2188604,-0.003941949,1.129471,0.2186854,-0.02101193,1.11676,0.227823
8.596251,-0.02959016,1.100197,0.3029046,-0.02959016,1.100197,0.3029046,-0.03614895,1.118402,0.2843347,-0.05037448,1.138737,0.2758893,-0.06224382,1.167009,0.2605254,-0.07362922,1.199198,0.2502849,-0.09014355,1.219215,0.2492425,-0.01857995,1.19154,0.2532521,-0.02496945,1.183451,0.2145961,-0.03933135,1.162216,0.2145242,-0.05114094,1.142238,0.2189036,0.003045019,1.182191,0.2539003,-0.009988658,1.171565,0.211858,-0.02740473,1.148581,0.2154464,-0.04238179,1.128348,0.2232771,0.01654521,1.165291,0.2502366,-6.31E-06,1.154904,0.2140403,-0.01896402,1.134287,0.2151508,-0.03585799,1.116633,0.2231701,0.000437839,1.114641,0.27343,0.02597396,1.14473,0.245838,0.01009856,1.142714,0.2176605,-0.006089754,1.128681,0.2174556,-0.02265041,1.115291,0.2265609
8.610789,-0.02852821,1.097358,0.3021142,-0.02852821,1.097358,0.3021142,-0.03619539,1.115548,0.2839583,-0.05130022,1.135496,0.2761385,-0.06436555,1.163662,0.2615725,-0.07679765,1.195674,0.2520184,-0.09383328,1.215274,0.2516451,-0.02189501,1.189572,0.2532996,-0.02909514,1.181748,0.2147317,-0.04276314,1.16007,0.2140328,-0.05388442,1.139539,0.2175668,3.21E-05,1.180931,0.2532326,-0.01384005,1.17033,0.2114533,-0.03052035,1.146733,0.2145258,-0.04479215,1.125819,0.2218708,0.01396607,1.164527,0.2489884,-0.002920425,1.154566,0.2128271,-0.02128115,1.133393,0.2133652,-0.0376015,1.114991,0.2208754,0.000172896,1.113115,0.2719969,0.0239307,1.144337,0.2440779,0.007559203,1.142429,0.2161781,-0.008226071,1.127944,0.2159803,-0.02423659,1.113896,0.2250767
8.62512,-0.02729237,1.094496,0.3010606,-0.02729237,1.094496,0.3010606,-0.03605961,1.112641,0.2833642,-0.05200769,1.132177,0.276206,-0.06621665,1.160224,0.2625071,-0.07962225,1.192051,0.2536794,-0.09711764,1.211243,0.2539963,-0.02502719,1.187446,0.2532559,-0.03308352,1.179877,0.2148067,-0.04607583,1.157807,0.2136541,-0.05650529,1.136806,0.216472,-0.002846066,1.17952,0.2524527,-0.01758743,1.16894,0.2109667,-0.03351334,1.144785,0.2136837,-0.04703787,1.12326,0.2206692,0.01147665,1.163626,0.2476038,-0.005908644,1.153952,0.2116014,-0.0236514,1.132252,0.2117934,-0.03932782,1.113172,0.2189751,6.42E-06,1.111527,0.2703394,0.02193554,1.143829,0.2421538,0.005028069,1.142025,0.2145685,-0.01035102,1.127109,0.2143821,-0.02579176,1.112426,0.2234608
8.639273,-0.02799806,1.090962,0.3050698,-0.02799806,1.090962,0.3050698,-0.03722658,1.109005,0.2875035,-0.05363566,1.128244,0.2805874,-0.0685119,1.156093,0.2671975,-0.08199383,1.18772,0.257783,-0.09959228,1.206819,0.2576734,-0.02791774,1.184176,0.2577271,-0.03531409,1.177948,0.2189063,-0.04798535,1.156062,0.2147087,-0.058325,1.134829,0.2146547,-0.0055771,1.176727,0.2567883,-0.02020435,1.16616,0.2152586,-0.03603781,1.141793,0.2150494,-0.04970965,1.119684,0.2194368,0.009058263,1.161166,0.2517972,-0.006820319,1.154033,0.2145278,-0.02472045,1.133221,0.2088581,-0.04157979,1.113815,0.2095916,-0.001202863,1.108722,0.274318,0.0199109,1.141623,0.2462021,0.004257746,1.141643,0.2178288,-0.01139344,1.127591,0.2137517,-0.02868204,1.112615,0.2173942
8.65199,-0.02809906,1.0874,0.3077359,-0.02809906,1.0874,0.3077359,-0.03780774,1.10534,0.2903239,-0.05467919,1.124277,0.2836919,-0.07023524,1.151923,0.2706591,-0.08392752,1.183351,0.2608881,-0.1016831,1.202301,0.2605344,-0.03026048,1.180854,0.2609193,-0.0368962,1.176328,0.2217271,-0.0492037,1.154915,0.2148565,-0.05937804,1.133766,0.2122258,-0.007773286,1.173885,0.2598123,-0.02233002,1.163394,0.2182386,-0.03788108,1.138954,0.2159235,-0.05144391,1.116485,0.2184069,0.007158432,1.158664,0.254651,-0.00772018,1.153414,0.2166631,-0.02524849,1.133704,0.2071791,-0.04229473,1.114866,0.2031848,-0.001862735,1.105892,0.2769336,0.01838894,1.139386,0.2488847,0.003717504,1.140674,0.2200202,-0.0118934,1.127591,0.2133741,-0.03001506,1.113169,0.2131216
8.666665,-0.02496442,1.088641,0.3128406,-0.02496442,1.088641,0.3128406,-0.03489073,1.106315,0.2952797,-0.05208709,1.124903,0.2884975,-0.0680609,1.152249,0.2753361,-0.08223432,1.183414,0.2654122,-0.1003135,1.202053,0.2649277,-0.0285804,1.181829,0.2655852,-0.03475229,1.176911,0.2263646,-0.04660022,1.155761,0.2180258,-0.05644453,1.134814,0.2133323,-0.005956821,1.175287,0.2646673,-0.01981926,1.16473,0.2228736,-0.03502737,1.140344,0.2185724,-0.04847268,1.117676,0.2192179,0.009299319,1.160332,0.25968,-0.004619954,1.155764,0.221243,-0.02141486,1.137303,0.2084823,-0.03812713,1.119493,0.2004276,0.00113108,1.107496,0.2821388,0.02093687,1.141248,0.2540801,0.006826371,1.142596,0.2249401,-0.008409595,1.130009,0.2166655,-0.02660023,1.11591,0.2140675
8.679915,-0.02232188,1.088704,0.3164628,-0.02232188,1.088704,0.3164628,-0.03248473,1.106118,0.2987779,-0.05000952,1.124354,0.2918835,-0.06641325,1.151404,0.2786384,-0.0810746,1.182307,0.2686056,-0.09946991,1.200632,0.268031,-0.02745333,1.181627,0.2688269,-0.03319594,1.17635,0.2295876,-0.04457976,1.155426,0.220111,-0.05400808,1.134752,0.2136748,-0.004703676,1.175516,0.2680617,-0.01789651,1.165012,0.2260385,-0.03267382,1.140719,0.2200429,-0.0458831,1.117924,0.2190916,0.0108644,1.160838,0.2632183,-0.002214829,1.15691,0.2244173,-0.01820926,1.139524,0.2093315,-0.03431481,1.122763,0.1983282,0.003582178,1.10794,0.2858356,0.02289725,1.141959,0.2577581,0.009246286,1.143355,0.2284022,-0.005558159,1.131164,0.2188504,-0.02360259,1.117346,0.2143901
8.693578,-0.01907393,1.09308,0.3183832,-0.01907393,1.09308,0.3183832,-0.02932592,1.110053,0.3003251,-0.04711859,1.128088,0.2935867,-0.06398372,1.154873,0.2803855,-0.07907456,1.185559,0.2703215,-0.09762587,1.20373,0.2699211,-0.02482016,1.184987,0.2688825,-0.03042602,1.178797,0.2297572,-0.04158997,1.157681,0.2204455,-0.05078602,1.136943,0.21388,-0.002019461,1.179049,0.268303,-0.0149969,1.167616,0.2264555,-0.02955619,1.143091,0.2208851,-0.04257652,1.120175,0.2202729,0.01368151,1.164405,0.2637976,0.000736874,1.159584,0.2250522,-0.01477653,1.142601,0.2090324,-0.03047964,1.126317,0.196801,0.00676287,1.111911,0.287449,0.02588333,1.145519,0.2587498,0.01235384,1.146158,0.2293116,-0.002379647,1.133619,0.2201066,-0.02034742,1.119592,0.2160017
